"Key";"ru";"en";"kz";"ua";"by"
"Array without index";;;;;
"Broken if statement";;;;;
"Too many ':=' operators";;;;;
"Can't input string slice";;;;;
"Use of 'not' for non-boolean value";;;;;
"Extra statement";;;;;
"Unpaired ']'";;;;;
"Assignment to array";;;;;
"Program structure error";;;;;
"No module name";"Где имя?";;;;
"2200803";;;;;
"2200802";;;;;
"2200801";;;;;
"Array dimension mismatch";;;;;
"2200804";;;;;
"No condition after 'if'";;;;;
"The name is used by global variable";;;;;
"Extra variable group specifier: %1";;;;;
"Array bounds no specified";;;;;
"Nothing between '(' and ')'";;;;;
"No operands";;;;;
"File handle is not integer";;;;;
"Access to return value outside of algorhitm";;;;;
"No colon after condition";;;;;
"Can't not %1";;;;;
"No pairing ']'";;;;;
"Can't integer:=charect";;;;;
"Can't charect:=integer";;;;;
"1129";"Алгоритм не реализован";;;;
"Can't boolean:=real";;;;;
"Variable already declared";;;;;
"Can't boolean:=integer";;;;;
"Algorhitms can't return array";;;;;
"1126";;;;;
"Extra operator";"Лишний оператор";;;;
"The name is used by other algorhitm";;;;;
"Extra 'endloop'";;;;;
"Extra arguments";;;;;
"No loop 'from' value";;;;;
"Condition if not boolean";;;;;
"Can't declare variables at this level";;;;;
"From-value not specified";;;;;
"Right array bound is not integer";;;;;
"Too many 'not'";"Много 'не'";;;;
"No pairing ')'";;;;;
"Unpaired '('";;;;;
"Extra 'loop'";;;;;
"Recursive declaration of bound";;;;;
"Name not declared";"Имя не описано";;;;
"Extra array bound";;;;;
"No pairing '['";;;;;
"2200504";;;;;
"2200500";;;;;
"No algorhitm name";;;;;
"Variable name is empty";;;;;
"Assignment to in- argument";;;;;
"Not enought algorhitm arguments";;;;;
"Garbabe";;;;;
"No arguments";;;;;
"Extra 'fi'";;;;;
"Type not declared before";;;;;
"Then-value not specified";;;;;
"Extra 'module'";;;;;
"Extra ','";;;;;
"Not enought indeces";;;;;
"Name is used by algorhitm";;;;;
"Not integer to-value";;;;;
"2200009";;;;;
"2200008";;;;;
"2200001";;;;;
"No operand before non-unary operator";;;;;
"Extra 'switch'";;;;;
"Error contains unpaired quote";;;;;
"1103";;;;;
"Constant type mismatch";;;;;
"':=' should not be here";;;;;
"Passing table as index";;;;;
"Can't integer:=string";;;;;
"Garbage at the end of statement";;;;;
"Assignment to complex expression";;;;;
"Can't real:=string";;;;;
"Constant instead of name";;;;;
"Unpaired quote";;;;;
"Array name not specified before '['";;;;;
"This algorhitm has no return value";;;;;
"Algorhitm not found";;;;;
"Not a constant value";;;;;
"First unnamed algorhitm should not return anything";;;;;
"Can't integer:=boolean";;;;;
"2200901";;;;;
"Initial values should not be specified in algorhitm header";;;;;
"Extra docstring";;;;;
"Unmatched array dimensions";;;;;
"Operator in name";;;;;
"Times value not specified";;;;;
"No for-loop variable";;;;;
"Left array bound is not integer";;;;;
"No condition after 'case'";;;;;
"Incompatible types";;;;;
"Initial value is empty";"беее";;;;
"Can't pass in-argument as in/out-argument";;;;;
"Step-value is empty";;;;;
"No loop 'to' value";;;;;
"Can't charect:=string";;;;;
"Extra '['";;;;;
"Slice of string array, but not string";;;;;
"Can't input complex expression";;;;;
"Left array bound not specified";;;;;
"'arg' instead of 'alg'";;;;;
"Index is not integer";;;;;
"Unpaired ')'";;;;;
"Extra 'case'";;;;;
"No variable name";;;;;
"Can't pass this expression as out-argument";;;;;
"Can't charect:=real";;;;;
"No right array bound";;;;;
"Extra 'then'";;;;;
"No right value of assignment";;;;;
"Extra 'else'";;;;;
"Extra 'begin'";"Лишний нач";;;;
"Extra indeces in slice";;;;;
"Unpaired '['";;;;;
"Can't pass this expression as in/out-argumeny";;;;;
"Extra 'end'";;;;;
"2200101";;;;;
"Extra algorhitm arguments";;;;;
"Not a simple index";;;;;
"Name contains quotation symbol";;;;;
"Can't charect:=boolean";;;;;
"Array dimension must not be > 3";;;;;
"Extra 'if'";;;;;
"No condition between 'case' and colon";;;;;
"Assignment of array";;;;;
"Extra 'not'";;;;;
"'end' instead of 'endloop'";;;;;
"Keyword in name";;;;;
"2200212";;;;;
"Garbage afrer module name";;;;;
"Not integer for-loop variable";;;;;
"Can't boolean:=charect";;;;;
"Can't input array";;;;;
"Can't string:=real";;;;;
"Can't -%1";;;;;
"Can't pass in-argument as out-argument";;;;;
"No left array bound";;;;;
"Can't integer:=real";;;;;
"No condition after 'end if'";;;;;
"Loop type not specified";;;;;
"Garbage in expression";;;;;
"Constant for-loop variable";;;;;
"',' instead of ':'";;;;;
"No left value of assignment";;;;;
"Not integer from-value";;;;;
"Variable not found";;;;;
"Can't input algorhitm in- argument";;;;;
"Can't string:=boolean";;;;;
"Name starts with digit";;;;;
"Extra indeces";;;;;
"No coma before %1";;;;;
"No loop variable";;;;;
"Name contains keyword";;;;;
"Constant value not typed";;;;;
"2200010";;;;;
"2200404";;;;;
"Can't string:=integer";;;;;
"2200401";;;;;
"Assignment to constant value";;;;;
"Can't boolean:=string";;;;;
"Garbage at end of line";;;;;
"Nothing between '[' and ']'";;;;;
"Not integer step-value";;;;;
"Can't real:=boolean";;;;;
"Can't real:=charect";;;;;
"Condition is not boolean";;;;;
"No expressions after '%1'";;;;;
"Not integer times-value";;;;;
"Bad symbol in name";;;;;
"No condition after 'loop while'";;;;;
"Can't input constant value";;;;;
"Statement ends with coma";;;;;
"Left array bound is empty";;;;;
