"Key";"ru";"en";"kz";"ua";"by";
"'%1' can't be part of name";"Константа в имени";"";"";"";"";
"'%1' in algorithm";"“%1” внутри алгоритма";"";"";"";"";
"',' instead of ':'";"Запятая вместо двоеточия";"";"";"";"";
"':=' or '=' ?";"“:=” или “=” ?";"";"";"";"";
"':=' should not be here";"Здесь не должно быть “:=”";"";"";"";"";
"'=' instead of ':='";"“=” вместо “:=”";"";"";"";"";
"'='' instead of ':='";"";"";"";"";"";
"'[...]' instead of '(...)'";"“[...]” вместо “(...)”";"";"";"";"";
"'alg' instead of 'arg'";"“алг” вместо “арг”";"";"";"";"";
"'end' instead of 'end loop'";"“кон” вместо “кц”";"";"";"";"";
"'end' instead of 'endloop'";"“кон” вместо “кц”";"";"";"";"";
"'end_module' instead of 'end'";"“кон_исп” вместо “кон”";"";"";"";"";
"'not' at the end";"“не” в конце имени";"";"";"";"";
"'not' must be before boolean expression";"“не” внутри не-лог величины";"";"";"";"";
"'to' earler then 'from'";"“до” раньше чем “от”";"";"";"";"";
"= instead of :=";"";"";"";"";"";
"Access to return value outside of algorithm";"Вне алгоритмов не бывает “знач”";"";"";"";"";
"Algorhitm header in algorhitm body";"Вложенное описание алгоритма";"";"";"";"";
"Algorhitm not found";"Нет такого алгоритма";"";"";"";"";
"Algorhitm not implemented";"Алгоритм не реализован";"";"";"";"";
"Algorhitms can't return array";"Нельзя вернуть таблицу";"";"";"";"";
"Algorith out of module";"";"";"";"";"";
"Algorithm can't be a loop variable";"Алгоритм не может быть величиной цикла";"";"";"";"";
"Algorithm declared after module";"Алгоритм после исполнителя";"";"";"";"";
"Algorithm out of module";"Алгоритм вне исполнителя";"";"";"";"";
"Array bounds no specified";"Нет границ";"";"";"";"";
"Array dimension mismatch";"Несоответствие размерностей таблиц";"";"";"";"";
"Array dimension must not be > 3";"Таблицы не бывают размерности > 3";"";"";"";"";
"Array element in array bound";"Элемент таблицы в границе";"";"";"";"";
"Array input must not be in a list";"";"";"";"";"";
"Array name not specified before '['";"Перед “[“ должно быть имя таблицы";"";"";"";"";
"Array required here";"Индексы не нужны";"";"";"";"";
"Array without index";"Нет индексов у таблицы";"";"";"";"";
"Assignment of array";"Нельзя присваивать таблицы";"";"";"";"";
"Assignment of non-returning algorithm";"У этого алгоритма нет значения";"";"";"";"";
"Assignment of void";"Нельзя присвоить пустое значение";"";"";"";"";
"Assignment to array";"Присваивание массиву";"";"";"";"";
"Assignment to complex expression";"Нельзя присвоить выражению";"";"";"";"";
"Assignment to constant value";"Нельзя присвоить константе";"";"";"";"";
"Assignment to function";"Нельзя присвоить алгоритму";"";"";"";"";
"Assignment to in- argument";"Нельзя присвоить аргументу";"";"";"";"";
"Available only to teacher";"Доступно только учителю";"";"";"";"";
"Bad symbol in name";"Имя содержит недопустимый символ";"";"";"";"";
"Begin in algorhitm body";"“нач” внутри алгоритма";"";"";"";"";
"Broken if statement";"Нет “все” для этой конструкции";"";"";"";"";
"Can't %1 %2 %3";"Нельзя “%1 %2 %3”";"";"";"";"";
"Can't %1:=%2";"Нельзя “%1 := %2”";"";"";"";"";
"Can't %1:=charect";"";"";"";"";"";
"Can't %1:=integer";"";"";"";"";"";
"Can't %1:=real";"";"";"";"";"";
"Can't %1:=string";"";"";"";"";"";
"Can't +%1";"Нельзя +%1";"";"";"";"";
"Can't -%1";"Нельзя -%1";"";"";"";"";
"Can't boolean:=%1";"";"";"";"";"";
"Can't boolean:=charect";"Нельзя “лог := сим”";"";"";"";"";
"Can't boolean:=integer";"Нельзя “лог := цел”";"";"";"";"";
"Can't boolean:=real";"Нельзя “лог := вещ”";"";"";"";"";
"Can't boolean:=string";"Нельзя “лог := лит”";"";"";"";"";
"Can't charect:=%1";"";"";"";"";"";
"Can't charect:=boolean";"Нельзя “сим := лог”";"";"";"";"";
"Can't charect:=integer";"Нельзя “сим := цел”";"";"";"";"";
"Can't charect:=real";"Нельзя “сим := вещ”";"";"";"";"";
"Can't charect:=string";"Нельзя “сим := лит”";"";"";"";"";
"Can't declare variable in condidion";"Нельзя объявлять в условии";"";"";"";"";
"Can't declare variable in loop";"Нельзя объявлять в цикле";"";"";"";"";
"Can't declare variable in switch";"Нельзя объявлять в выборе";"";"";"";"";
"Can't declare variables at this level";"Здесь нельзя объявлять величины";"";"";"";"";
"Can't input algorithm in- argument";"Нельзя ввести в аргумент";"";"";"";"";
"Can't input an array";"";"";"";"";"";
"Can't input array";"Нельзя ввести в таблицу";"";"";"";"";
"Can't input complex expression";"Нельзя ввести в выражение";"";"";"";"";
"Can't input constant";"Нельзя ввести в константу";"";"";"";"";
"Can't input constant value";"Нельзя ввести в константу";"";"";"";"";
"Can't input function";"Нельзя ввести в алгоритм";"";"";"";"";
"Can't input function call";"Нельзя ввести в вызов алгоритма";"";"";"";"";
"Can't input in-argument";"Нельзя менять значение аргумента";"";"";"";"";
"Can't input part of string";"Нельзя ввести часть строки";"";"";"";"";
"Can't input string slice";"Нельзя ввести в вырезку";"";"";"";"";
"Can't input subexpression";"Нельзя ввести в выражение";"";"";"";"";
"Can't input value of type %1";"Нельзя ввести значение типа %1";"";"";"";"";
"Can't integer:=%1";"";"";"";"";"";
"Can't integer:=boolean";"Нельзя “цел := лог”";"";"";"";"";
"Can't integer:=charect";"Нельзя “цел := сим”";"";"";"";"";
"Can't integer:=real";"Нельзя “цел := вещ”";"";"";"";"";
"Can't integer:=string";"Нельзя “цел := лит”";"";"";"";"";
"Can't not %1";"Нельзя не %1";"";"";"";"";
"Can't open module file";"Не могу открыть файл исполнителя";"";"";"";"";
"Can't output value of type %1";"Нельзя вывести значение типа %1";"";"";"";"";
