E101;indentation contains mixed spaces and tabs;отступ содержит пробелы и табы;відступ містить пробіли та табуляції;
E111;indentation is not a multiple of four;длина отступа не кратна 4;довжина відступу не ділиться на 4;
E112;expected an indented block;требуется отступ;потрібен відступ;
E113;unexpected indentation;неожиданный отступ;неочікуваний відступ;
E114;indentation is not a multiple of four (comment);длина отступа не кратна 4;довжина відступу не ділиться на 4;
E115;expected an indented block (comment);требуется отступ;потрібен відступ;
E116;unexpected indentation (comment);неожиданный отступ;неочікуваний відступ;
E121;continuation line under-indented for hanging indent;продолжение строки имеет недостаточный отступ;продовження рядка має недостатній відступ;
E122;continuation line missing indentation or outdented;продолжение строки имеет устаревший формат;продовження рядка має застарілий формат;
E123;closing bracket does not match indentation of opening bracket’s line;отступ перед ']' не соответствует отступу перед '[';відступ перед ']' не відповідає відступу перед '[';
E124;closing bracket does not match visual indentation;неправильный отступ перед ']';неправильний відступ перед ']';
E125;continuation line with same indent as next logical line;продолжение текущ. строки имеет такой же отступ, как следующая строка;продовження поточн. рядка має такий самий відступ, як наступний рядок;
E126;continuation line over-indented for hanging indent;продолжение строки имеет слишком большой отступ;продовження рядка має завеликий відступ;
E127;continuation line over-indented for visual indent;продолжение строки имеет слишком большой отступ;продовження рядка має завеликий відступ;
E128;continuation line under-indented for visual indent;продолжение строки имеет слишком маленький отступ;продовження рядка має замалий відступ;
E129;visually indented line with same indent as next logical line;строка с бОльшим визуально имеет такой же отступ, как и след. строка;рядок с більшим відступом візуально має такий самий відступ, як і наступний рядок;
E131;continuation line unaligned for hanging indent;продолжение строки невыровняно;продовження рядка невирівняне;
E133;closing bracket is missing indentation;нет отступа возле ']';немає відступу біля ']';
E201;whitespace after '(';пробел после '(';пробіл після '(';
E202;whitespace before ')';пробел перед ')';пробіл перед ')';
E203;"whitespace before ':', ',', ';'";"пробел перед ':', ',', ';'";"пробіл перед ':', ',', ';'";
E211;whitespace before '(';пробел перед '(';пробіл перед '(';
E221;multiple spaces before operator;много пробелов перед оператором;забагато пробілів перед оператором;
E222;multiple spaces after operator;много пробелов после оператора;забагато пробілів після оператора;
E223;tab before operator;таб перед оператором;табуляція перед оператором;
E224;tab after operator;таб после оператора;табуляція післе оператора;
